Libro,Autor,Géneros,Puntaje
Exercitationem fuga error porro,Inmaculada Mulet Pinilla,"Ciencia Ficción, Drama, Misterio",2
Maxime libero reprehenderit eius sit,Sandra Lluch,"Ciencia Ficción, Histórico",1
Nulla placeat accusantium,Rafael Garzón-Ariño,Drama,5
Dicta beatae,Rafael Garzón-Ariño,Misterio,1
Nostrum consectetur voluptates doloribus dolor,Onofre Noriega Ropero,"Misterio, Aventura",5
Quibusdam harum explicabo,Inmaculada Mulet Pinilla,"Romance, Fantasía, Misterio",4
Iusto voluptatem consequatur quia,Teresa Baena,"Terror, Romance, Drama",2
Dolores esse aliquam quas mollitia,Concepción Royo,Fantasía,5
Hic voluptatem animi,Evelia Portero Peiró,"Misterio, Romance",5
Blanditiis nemo expedita at,Rafael Garzón-Ariño,Romance,2
Velit ipsam,Luna Sanjuan Gascón,"Terror, Ciencia Ficción",1
Reprehenderit quos impedit vitae doloribus,Ignacio Haroldo Roldan Lara,"Terror, Romance, Misterio",3
Ipsa eos dignissimos,Adolfo Rovira Oliva,"Fantasía, Ciencia Ficción, Drama",1
Quam esse ex,Celso Albert Valero Martin,Ciencia Ficción,3
Iusto voluptatem consequatur quia,Teresa Baena,"Terror, Romance, Drama",4
Beatae laboriosam enim modi,Juanito Canet-Recio,Histórico,5
Expedita in ratione,Rafael Belmonte,Histórico,1
El libro oscuro,Wilfredo Villalobos,Fantasía,5
Hic voluptatem animi,Evelia Portero Peiró,"Misterio, Romance",4
Architecto provident dolore,Teresa Baena,Fantasía,2
Atque ut rem voluptate nemo,Onofre Noriega Ropero,"Terror, Fantasía",2
Vel repellendus officia delectus,Inmaculada Mulet Pinilla,Aventura,1
Occaecati quis repellat temporibus,Inmaculada Mulet Pinilla,"Ciencia Ficción, Histórico, Misterio",1
Quis recusandae libero pariatur earum,Sandra Lluch,"Terror, Romance, Histórico",5
Ex eveniet aspernatur,Luna Sanjuan Gascón,"Romance, Ciencia Ficción, Histórico",3
Nisi rerum non,Plinio Ballesteros Sureda,"Fantasía, Aventura, Misterio",4
Dicta beatae,Rafael Garzón-Ariño,Misterio,5
Consequuntur cum,Luna Sanjuan Gascón,Histórico,4
Atque ut rem voluptate nemo,Onofre Noriega Ropero,"Terror, Fantasía",2
Quaerat voluptate quod,Paca Soledad Marquez Abella,"Drama, Aventura, Misterio",2
Et suscipit,Luna Sanjuan Gascón,Drama,4
Cum odio earum unde aperiam,Aura Anastasia López Vidal,Aventura,4
Reprehenderit quos impedit vitae doloribus,Ignacio Haroldo Roldan Lara,"Terror, Romance, Misterio",4
Eum mollitia nihil,Onofre Noriega Ropero,"Misterio, Drama",5
Sed perspiciatis adipisci,Inmaculada Mulet Pinilla,"Histórico, Aventura, Misterio",1
Provident sit quam dolorem voluptatum,Emperatriz Cervera Avilés,Romance,4
Quod nemo,Plinio Ballesteros Sureda,"Ciencia Ficción, Aventura",5
Accusamus dolor,Celso Albert Valero Martin,"Terror, Fantasía, Misterio",2
